station_id,station_name,latitude,longitude,available_pollutants,earliest_timestamp_utc,latest_timestamp_utc,covered_days,total_observed_hours,expected_hours_in_covered_range,pm25_observed_hours,pm10_observed_hours,no2_observed_hours,pm25_completeness_percent,pm10_completeness_percent,no2_completeness_percent,pm25_missingness_percent,duplicate_count_before_hourly_aggregation,longest_continuous_pm25_run_hours,longest_continuous_pm25_run_days,number_of_pm25_gaps_over_24h,quality_classification,recommendation_reason
openaq_location_3409312,"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,"pm25,pm10",2025-10-18T06:00:00+00:00,2026-06-29T11:00:00+00:00,254.25,4555,6102,4555,4531,0,74.65,74.25,0,25.35,0,185,7.71,10,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_3409385,"RVCE-Mailasandra, Bengaluru - KSPCB",12.921418,77.502466,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-05-30T23:00:00+00:00,330.5,5464,7932,5378,5456,0,67.8,68.78,0,32.2,0,388,16.17,19,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_3409393,"Shivapura_Peenya, Bengaluru - KSPCB",13.0246342,77.5080115,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-06-23T10:00:00+00:00,353.96,6026,8495,6026,6024,0,70.94,70.91,0,29.06,0,342,14.25,18,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_5548,"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-07-04T09:00:00+00:00,364.92,5834,8758,5829,5834,0,66.56,66.61,0,33.44,0,187,7.79,20,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_5607,"Peenya, Bengaluru - CPCB",13.0270199,77.494094,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-06-07T09:00:00+00:00,337.92,5848,8110,5833,5848,0,71.92,72.11,0,28.08,0,271,11.29,11,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_6206921,Koramangala,12.9370223,77.6115928,pm25,2026-01-19T10:00:00+00:00,2026-07-04T11:00:00+00:00,166.08,3570,3986,3570,0,0,89.56,0,0,10.44,0,722,30.08,3,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_6973,"Jayanagar 5th Block, Bengaluru - KSPCB",12.920984,77.584908,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-07-04T09:00:00+00:00,364.92,7481,8758,7423,7407,0,84.76,84.57,0,15.24,0,308,12.83,7,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_6974,"Bapuji Nagar, Bengaluru - KSPCB",12.951913,77.539784,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-07-04T09:00:00+00:00,364.92,6199,8758,6105,5946,0,69.71,67.89,0,30.29,0,470,19.58,11,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_6975,"Silk Board, Bengaluru - KSPCB",12.917348,77.622813,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-07-04T08:00:00+00:00,364.88,7118,8757,7063,6998,0,80.66,79.91,0,19.34,0,294,12.25,8,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_6983,"Hombegowda Nagar, Bengaluru - KSPCB",12.938539,77.5901,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-07-04T09:00:00+00:00,364.92,7712,8758,7665,7699,0,87.52,87.91,0,12.48,0,308,12.83,7,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_6984,"Hebbal, Bengaluru - KSPCB",13.029152,77.585901,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-07-04T09:00:00+00:00,364.92,7542,8758,7018,7394,0,80.13,84.43,0,19.87,0,243,10.12,12,Usable with caveats,"Passed Usable with caveats rule: >=90 covered days, >=50% PM2.5 completeness, and >=7 continuous PM2.5 days."
openaq_location_3409388,"Kasturi Nagar, Bengaluru - KSPCB",13.003872,77.664217,"pm25,pm10",2025-07-04T12:00:00+00:00,2026-07-04T00:00:00+00:00,364.54,3585,8749,3585,3585,0,40.98,40.98,0,59.02,0,384,16,22,Not suitable,Failed suitability rule: PM2.5 completeness < 50%
openaq_location_5574,"City Railway Station, Bengaluru - KSPCB",12.9756843,77.5660749,pm10,2025-07-04T12:00:00+00:00,2026-07-03T16:00:00+00:00,364.21,5445,8741,0,5445,0,0,62.29,0,100,0,0,0,1,Not suitable,"Failed suitability rule: PM2.5 completeness < 50%, longest continuous PM2.5 run < 7 days"
openaq_location_5644,"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,pm10,2025-07-04T12:00:00+00:00,2026-06-03T06:00:00+00:00,333.79,5210,8011,0,5210,0,0,65.04,0,100,0,0,0,1,Not suitable,"Failed suitability rule: PM2.5 completeness < 50%, longest continuous PM2.5 run < 7 days"
openaq_location_6119271,Kumaraswamy Layout,12.9044,77.5649,pm25,2025-11-04T16:00:00+00:00,2026-04-23T05:00:00+00:00,169.58,920,4070,920,0,0,22.6,0,0,77.4,0,172,7.17,4,Not suitable,Failed suitability rule: PM2.5 completeness < 50%
openaq_location_6146655,Bellandur,12.9178128,77.6955288,pm25,2025-11-29T11:00:00+00:00,2025-12-10T05:00:00+00:00,10.79,212,259,212,0,0,81.85,0,0,18.15,0,153,6.38,0,Not suitable,"Failed suitability rule: covered_days < 90, longest continuous PM2.5 run < 7 days"
